Isolate,ST,Replicate,OD600,OD570,Normalized OD570,month,day,year,experiment,plate
86,48,7,0.495,1.724,3.482828283,2,2,2018,3,1
86,48,8,0.49,1.997,4.075510204,2,2,2018,3,1
86,48,9,0.515,1.843,3.578640777,2,2,2018,3,1
86,48,10,0.513,1.312,2.557504873,2,2,2018,3,1
86,48,11,0.515,0.388,0.753398058,2,2,2018,3,1
86,48,12,0.514,0.478,0.929961089,2,2,2018,3,1
91,48,1,0.669,1.298,1.940209268,2,2,2018,3,1
91,48,2,0.704,0.919,1.305397727,2,2,2018,3,1
91,48,3,0.606,0.505,0.833333333,2,2,2018,3,1
91,48,4,0.606,1.393,2.298679868,2,2,2018,3,1
91,48,5,0.606,1.439,2.374587459,2,2,2018,3,1
91,48,6,0.652,1.043,1.599693252,2,2,2018,3,1
91,48,7,0.658,1.403,2.132218845,2,2,2018,3,1
91,48,8,0.58,1.427,2.460344828,2,2,2018,3,1
91,48,9,0.638,1.533,2.402821317,2,2,2018,3,1
91,48,10,0.698,0.535,0.766475645,2,2,2018,3,1
91,48,11,0.684,0.499,0.729532164,2,2,2018,3,1
91,48,12,0.651,1.317,2.023041475,2,2,2018,3,1
100,48,1,0.579,1.86,3.212435233,2,2,2018,3,1
100,48,2,0.589,1.764,2.994906621,2,2,2018,3,1
100,48,3,0.587,1.638,2.790459966,2,2,2018,3,1
100,48,4,0.533,1.509,2.831144465,2,2,2018,3,1
100,48,5,0.585,1.587,2.712820513,2,2,2018,3,1
100,48,6,0.578,1.406,2.432525952,2,2,2018,3,1
100,48,7,0.57,1.671,2.931578947,2,2,2018,3,1
100,48,8,0.546,1.004,1.838827839,2,2,2018,3,1
100,48,9,0.715,1.327,1.855944056,2,2,2018,3,1
100,48,10,0.6,1.316,2.193333333,2,2,2018,3,1
100,48,11,0.572,1.397,2.442307692,2,2,2018,3,1
100,48,12,0.562,1.438,2.558718861,2,2,2018,3,1
124,48,1,0.528,0.455,0.861742424,2,2,2018,3,1
124,48,2,0.506,1.337,2.64229249,2,2,2018,3,1
124,48,3,0.439,1.578,3.59453303,2,2,2018,3,1
124,48,4,0.458,1.252,2.733624454,2,2,2018,3,1
124,48,5,0.459,1.622,3.533769063,2,2,2018,3,1
124,48,6,0.483,1.503,3.111801242,2,2,2018,3,1
124,48,7,0.484,1.413,2.919421488,2,2,2018,3,1
124,48,8,0.475,1.004,2.113684211,2,2,2018,3,1
124,48,9,0.497,1.217,2.448692153,2,2,2018,3,1
124,48,10,0.562,1.174,2.088967972,2,2,2018,3,1
124,48,11,0.49,1.349,2.753061224,2,2,2018,3,1
124,48,12,0.485,0.499,1.028865979,2,2,2018,3,1
125,48,1,0.376,1.489,3.960106383,2,2,2018,3,2
125,48,2,0.43,2.69,6.255813953,2,2,2018,3,2
125,48,3,0.401,1.381,3.443890274,2,2,2018,3,2
125,48,4,0.431,1.161,2.693735499,2,2,2018,3,2
125,48,5,0.428,1.079,2.521028037,2,2,2018,3,2
125,48,6,0.43,1.046,2.43255814,2,2,2018,3,2
125,48,7,0.474,1.009,2.128691983,2,2,2018,3,2
125,48,8,0.483,1.187,2.457556936,2,2,2018,3,2
125,48,9,0.441,0.906,2.054421769,2,2,2018,3,2
125,48,10,0.455,0.929,2.041758242,2,2,2018,3,2
125,48,11,0.463,0.962,2.07775378,2,2,2018,3,2
125,48,12,0.451,1.903,4.219512195,2,2,2018,3,2
128,48,1,0.703,0.342,0.486486486,2,2,2018,3,2
128,48,2,0.725,0.274,0.377931034,2,2,2018,3,2
128,48,3,0.714,0.301,0.421568627,2,2,2018,3,2
128,48,4,0.728,0.365,0.501373626,2,2,2018,3,2
128,48,5,0.72,0.305,0.423611111,2,2,2018,3,2
128,48,6,0.706,0.288,0.407932011,2,2,2018,3,2
128,48,7,0.688,0.772,1.122093023,2,2,2018,3,2
128,48,8,0.705,1.071,1.519148936,2,2,2018,3,2
128,48,9,0.722,0.321,0.444598338,2,2,2018,3,2
128,48,10,0.78,0.227,0.291025641,2,2,2018,3,2
128,48,11,0.727,0.193,0.265474553,2,2,2018,3,2
128,48,12,0.733,0.252,0.343792633,2,2,2018,3,2
129,48,1,0.506,0.688,1.359683794,2,2,2018,3,2
129,48,2,0.527,0.751,1.425047438,2,2,2018,3,2
129,48,3,0.509,0.752,1.47740668,2,2,2018,3,2
129,48,4,0.518,0.89,1.718146718,2,2,2018,3,2
129,48,5,0.495,0.83,1.676767677,2,2,2018,3,2
129,48,6,0.496,2.596,5.233870968,2,2,2018,3,2
129,48,7,0.545,0.806,1.478899083,2,2,2018,3,2
129,48,8,0.494,2.29,4.63562753,2,2,2018,3,2
129,48,9,0.521,1.844,3.539347409,2,2,2018,3,2
129,48,10,0.505,1.011,2.001980198,2,2,2018,3,2
129,48,11,0.588,0.641,1.090136054,2,2,2018,3,2
129,48,12,0.546,1.134,2.076923077,2,2,2018,3,2
